Country Name,Country Code,Time,Time Code,GINI,GINIt-1,GINIt-2,Credit_GDP,GDP_growth,Inflation,FDI_GDP
Belgium,BEL,2013,YR2013,27.7,27.5,28.1,112.0628088,0.200650444,1.046204858,-5.447076521
Belgium,BEL,2014,YR2014,28.1,27.7,27.5,154.4604612,1.351434237,0.665469322,-4.50615673
Cyprus,CYP,2006,YR2006,31.1,30.3,30.1,201.9085331,4.51018332,3.475773291,9.176726278
Cyprus,CYP,2007,YR2007,31.1,31.1,30.3,219.2712182,4.820710541,3.186148947,9.533621619
Cyprus,CYP,2008,YR2008,31.7,31.1,31.1,257.2450805,3.863966058,4.024417879,8.397982397
Cyprus,CYP,2009,YR2009,32.1,31.7,31.1,276.8736445,-1.772450751,0.023418285,10.91093545
Cyprus,CYP,2010,YR2010,31.5,32.1,31.7,286.4789243,1.317777804,2.008104077,53.19095304
Cyprus,CYP,2011,YR2011,32.6,31.5,32.1,298.7517168,0.321196,1.908999735,-43.46255422
Cyprus,CYP,2012,YR2012,34.3,32.6,31.5,316.6133907,-3.058274021,1.892708973,198.0744779
Cyprus,CYP,2013,YR2013,37,34.3,32.6,306.1051239,-5.933958448,-1.051040805,-25.01670493
Cyprus,CYP,2014,YR2014,35.6,37,34.3,306.0451326,-1.403767772,-1.565201067,-3.229354878
Estonia,EST,2006,YR2006,33.7,33.5,33.6,80.60957991,10.27188409,8.877905052,13.04073383
Estonia,EST,2007,YR2007,31.2,33.7,33.5,89.91673496,7.748192368,11.51045906,15.42039675
Estonia,EST,2008,YR2008,31.9,31.2,33.7,95.16705502,-5.41945589,7.49280755,7.742610752
Estonia,EST,2009,YR2009,31.4,31.9,31.2,103.5214236,-14.72440391,0.430687766,9.492747024
Estonia,EST,2010,YR2010,32,31.4,31.9,96.4765268,2.259075894,1.735884047,13.3026104
Estonia,EST,2011,YR2011,32.5,32,31.4,82.47721401,7.597300209,5.260896424,4.827558145
Estonia,EST,2012,YR2012,32.9,32.5,32,75.31687269,4.307258988,3.159752112,7.759292018
Estonia,EST,2013,YR2013,35.1,32.9,32.5,71.09023126,1.936543444,3.555743231,4.370606686
Estonia,EST,2014,YR2014,34.6,35.1,32.9,71.12609419,2.890710968,1.472050415,6.677263791
Finland,FIN,2006,YR2006,28,27.6,27.9,93.25605107,4.055197444,0.912454382,2.138794724
Finland,FIN,2007,YR2007,28.3,28,27.6,98.81018737,5.184800809,2.765039571,8.608610241
Finland,FIN,2008,YR2008,27.8,28.3,28,130.0943158,0.720668487,3.076884682,6.838304827
Finland,FIN,2009,YR2009,27.5,27.8,28.3,135.9279452,-8.269036558,1.877414436,-3.509562186
Finland,FIN,2010,YR2010,27.7,27.5,27.8,152.2490647,2.992337502,0.350772528,4.933997863
Finland,FIN,2011,YR2011,27.6,27.7,27.5,189.4300271,2.570817745,2.584023761,-2.195369292
