Country,Code,Time,Credit_GDP,GDP_growth,Low20,Low20t-1,Low20t-2,High20,High20t-1,High20t-2,Inflation,FDI_GDP,UMP
Austria,AUT,2014,125.4337698,0.644844843,8.1,8.1,8,38.7,39,39.2,2.166786877,0.387515471,1
Belgium,BEL,2006,106.0003594,2.506140115,8.7,8.6,8.4,36.9,38.2,39.2,2.309882953,14.35475886,0
Belgium,BEL,2007,108.7865975,3.448973792,8.6,8.7,8.6,38,36.9,38.2,2.007498028,20.4713015,0
Belgium,BEL,2008,110.6014445,0.783173038,8.7,8.6,8.7,37.2,38,36.9,1.915219077,36.73991526,0
Belgium,BEL,2009,116.0535935,-2.253174635,8.5,8.7,8.6,37.2,37.2,38,0.778103162,17.85728562,0
Belgium,BEL,2010,113.6791103,2.744213272,8.6,8.5,8.7,37.2,37.2,37.2,1.883091286,23.05670402,1
Belgium,BEL,2011,114.0007433,1.798302659,8.6,8.6,8.5,36.8,37.2,37.2,2.001847292,29.98596411,1
Belgium,BEL,2012,113.2345514,0.234796924,8.7,8.6,8.6,36.4,36.8,37.2,1.97466857,1.342343942,1
Belgium,BEL,2013,112.0628088,0.200650444,8.6,8.7,8.6,36.4,36.4,36.8,1.046204858,-5.447076521,1
Belgium,BEL,2014,154.4604612,1.351434237,8.6,8.6,8.7,36.8,36.4,36.4,0.665469322,-4.50615673,1
Cyprus,CYP,2006,201.9085331,4.51018332,8.8,8.9,8.8,40.1,39.3,39,3.475773291,9.176726278,0
Cyprus,CYP,2007,219.2712182,4.820710541,8.7,8.8,8.9,40,40.1,39.3,3.186148947,9.533621619,0
Cyprus,CYP,2008,257.2450805,3.863966058,8.6,8.7,8.8,40.6,40,40.1,4.024417879,8.397982397,0
Cyprus,CYP,2009,276.8736445,-1.772450751,8.5,8.6,8.7,40.8,40.6,40,0.023418285,10.91093545,0
Cyprus,CYP,2010,286.4789243,1.317777804,8.6,8.5,8.6,40.5,40.8,40.6,2.008104077,53.19095304,1
Cyprus,CYP,2011,298.7517168,0.321196,8.4,8.6,8.5,41.3,40.5,40.8,1.908999735,-43.46255422,1
Cyprus,CYP,2012,316.6133907,-3.058274021,8,8.4,8.6,42.7,41.3,40.5,1.892708973,198.0744779,1
Cyprus,CYP,2013,306.1051239,-5.933958448,7.7,8,8.4,45.1,42.7,41.3,-1.051040805,-25.01670493,1
Cyprus,CYP,2014,306.0451326,-1.403767772,7.6,7.7,8,43.6,45.1,42.7,-1.565201067,-3.229354878,1
Estonia,EST,2006,80.60957991,10.27188409,7.6,7.3,7.1,41.7,41.3,41.3,8.877905052,13.04073383,0
Estonia,EST,2007,89.91673496,7.748192368,8,7.6,7.3,39.3,41.7,41.3,11.51045906,15.42039675,0
